ID,Avengers,Goodfellas,Forrest_Gump,Its_a_Wonderful_Life,The_Pianist,Django_Unchained,Gender,Generation
1,Really Liked,NA,Somewhat Liked,,Somewhat Liked,Somewhat Liked,Female,1981-1995 Millennial
2,Really Liked,Really Liked,Somewhat Liked,Indifferent,NA,Really Liked,Female,1981-1995 Millennial
3,Somewhat Liked,Somewhat Liked,Really Liked,Indifferent,NA,Really Liked,Male,1965-1980 Generation X
4,Indifferent,Really Liked,Somewhat Liked,Somewhat Liked,Really Liked,Indifferent,Male,1946-1964 Baby Boomer
5,Really Liked,Really Liked,Really Liked,Somewhat Liked,Indifferent,Indifferent,Female,1965-1980 Generation X
6,NA,Really Liked,Really Liked,Indifferent,NA,Somewhat Liked,Male,1981-1995 Millennial
